site,edition,classification,t,n,m,grade,location,stage,note
NET - colon / rectum,AJCC8,any,T2,N0,M0,Any,Any,IIA,AJCC8 QA v0.5: well-differentiated NET TNM stage group; high-grade NEC/mixed histology should redirect to carcinoma staging. | provenance=existing_v0_9_curated_or_previous_patch | crosswalk_v1.3 source_site=NET - colon / rectum -> tool_site=NET - colon / rectum | source_page=91; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Neuroendocrine Tumors of the Colon and Rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,T3,N0,M0,Any,Any,IIB,AJCC8 QA v0.5: well-differentiated NET TNM stage group; high-grade NEC/mixed histology should redirect to carcinoma staging. | provenance=existing_v0_9_curated_or_previous_patch | crosswalk_v1.3 source_site=NET - colon / rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,T4,N0,M0,Any,Any,IIIA,AJCC8 QA v0.5: well-differentiated NET TNM stage group; high-grade NEC/mixed histology should redirect to carcinoma staging. | provenance=existing_v0_9_curated_or_previous_patch | crosswalk_v1.3 source_site=NET - colon / rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,TX|T0,Any,M1,Any,Any,IV,source_page=91; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Neuroendocrine Tumors of the Colon and Rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,T1,N0,M0,Any,Any,IV,source_page=91; extract_method=stage_carried; extra_factors/raw_extra=I | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Neuroendocrine Tumors of the Colon and Rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,T1,N1,M0,Any,Any,I,source_page=91; extract_method=stage_carried; extra_factors/raw_extra=IIIB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Neuroendocrine Tumors of the Colon and Rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,T1,N1,M0,Any,Any,IIIB,source_page=91; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Neuroendocrine Tumors of the Colon and Rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,T1,Any,M1,Any,Any,IIIB,source_page=91; extract_method=stage_carried; extra_factors/raw_extra=IV | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Neuroendocrine Tumors of the Colon and Rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,T1,Any,M1,Any,Any,IV,source_page=91; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Neuroendocrine Tumors of the Colon and Rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,T2,N0,M0,Any,Any,IV,source_page=91; extract_method=stage_carried; extra_factors/raw_extra=IIA | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Neuroendocrine Tumors of the Colon and Rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,T2,Any,M1,Any,Any,IIA,source_page=91; extract_method=stage_carried; extra_factors/raw_extra=IV | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Neuroendocrine Tumors of the Colon and Rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,T2,Any,M1,Any,Any,IV,source_page=91; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Neuroendocrine Tumors of the Colon and Rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,T3,N1,M0,Any,Any,IV,source_page=91; extract_method=stage_carried; extra_factors/raw_extra=IIIB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Neuroendocrine Tumors of the Colon and Rectum -> tool_site=NET - colon / rectum
NET - colon / rectum,AJCC8,any,T3,N1,M0,Any,Any,IIIB,source_page=91; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Neuroendocrine Tumors of the Colon and Rectum -> tool_site=NET - colon / rectum
NET - pancreas,AJCC8,any,Any,Any,M1,Any,Any,IV,AJCC8 QA v0.5: well-differentiated pancreatic NET TNM stage. | provenance=existing_v0_9_curated_or_previous_patch | crosswalk_v1.3 source_site=NET - pancreas -> tool_site=NET - pancreas
NET - pancreas,AJCC8,any,Any,N1,M0,Any,Any,III,AJCC8 QA v0.5: well-differentiated pancreatic NET TNM stage. | provenance=existing_v0_9_curated_or_previous_patch | crosswalk_v1.3 source_site=NET - pancreas -> tool_site=NET - pancreas
NET - pancreas,AJCC8,any,T1,N0,M0,Any,Any,I,AJCC8 QA v0.5: well-differentiated pancreatic NET TNM stage; high-grade NEC should not use this NET table. | provenance=existing_v0_9_curated_or_previous_patch | crosswalk_v1.3 source_site=NET - pancreas -> tool_site=NET - pancreas
NET - pancreas,AJCC8,any,T2|T3,N0,M0,Any,Any,II,AJCC8 QA v0.5: well-differentiated pancreatic NET TNM stage. | provenance=existing_v0_9_curated_or_previous_patch | crosswalk_v1.3 source_site=NET - pancreas -> tool_site=NET - pancreas
NET - pancreas,AJCC8,any,T4,N0,M0,Any,Any,III,AJCC8 QA v0.5: well-differentiated pancreatic NET TNM stage. | provenance=existing_v0_9_curated_or_previous_patch | crosswalk_v1.3 source_site=NET - pancreas -> tool_site=NET - pancreas
Vulva,AJCC8,any,T1-T2,N1,M0,Any,Any,IIIA,source_page=170; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Vulva -> tool_site=Vulva
Vulva,AJCC8,any,T1-T2,N2a|N2b,M0,Any,Any,IIIA,source_page=170; extract_method=stage_carried; extra_factors/raw_extra=IIIB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Vulva -> tool_site=Vulva
Vulva,AJCC8,any,T1-T2,N2a|N2b,M0,Any,Any,IIIB,source_page=170; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Vulva -> tool_site=Vulva
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,any,T1,N0,M0,Any,Any,I,source_page=180; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,any,T1b,N0,M0,Any,Any,I,source_page=180; extract_method=stage_carried; extra_factors/raw_extra=IB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,any,T1b,N0,M0,Any,Any,IB,source_page=180; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1,N0,M0,Any,Any,I,source_page=181; extract_method=tnm_stage; extra_factors/raw_extra=Epithelioid leiomyosarcoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1a,N0,M0,Any,Any,I,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IA | Myxoid leiomyosarcoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1a,N0,M0,Any,Any,IA,source_page=181; extract_method=tnm_stage; extra_factors/raw_extra=Myxoid leiomyosarcoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1b,N0,M0,Any,Any,IA,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1b,N0,M0,Any,Any,IB,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1c,N0,M0,Any,Any,IB,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IC | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1c,N0,M0,Any,Any,IC,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T2,N0,M0,Any,Any,IC,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=II | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T2,N0,M0,Any,Any,II,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T3a,N0,M0,Any,Any,II,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IIIA | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T3a,N0,M0,Any,Any,IIIA,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T3b,N0,M0,Any,Any,IIIA,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IIIB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T3b,N0,M0,Any,Any,IIIB,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1|T2|T3,N1,M0,Any,Any,IIIB,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IIIC | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1|T2|T3,N1,M0,Any,Any,IIIC,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T4,Any,M0,Any,Any,IIIC,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IVA | Glandular elements | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T4,Any,M0,Any,Any,IVA,source_page=181; extract_method=tnm_stage; extra_factors/raw_extra=Glandular elements | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,Any,Any,M1,Any,Any,IVA,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IVB | High-grade endometrial stromal sarcoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,Any,Any,M1,Any,Any,IVB,source_page=181; extract_method=tnm_stage; extra_factors/raw_extra=High-grade endometrial stromal sarcoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Adenosarcoma,AJCC8,any,T1,N0,M0,Any,Any,I,source_page=180; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,any,T1b,N0,M0,Any,Any,I,source_page=180; extract_method=stage_carried; extra_factors/raw_extra=IB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,any,T1b,N0,M0,Any,Any,IB,source_page=180; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T1,N0,M0,Any,Any,I,source_page=181; extract_method=tnm_stage; extra_factors/raw_extra=Epithelioid leiomyosarcoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T1a,N0,M0,Any,Any,I,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IA | Myxoid leiomyosarcoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T1a,N0,M0,Any,Any,IA,source_page=181; extract_method=tnm_stage; extra_factors/raw_extra=Myxoid leiomyosarcoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T1b,N0,M0,Any,Any,IA,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T1b,N0,M0,Any,Any,IB,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T1c,N0,M0,Any,Any,IB,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IC | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T1c,N0,M0,Any,Any,IC,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T2,N0,M0,Any,Any,IC,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=II | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T2,N0,M0,Any,Any,II,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T3a,N0,M0,Any,Any,II,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IIIA | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T3a,N0,M0,Any,Any,IIIA,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T3b,N0,M0,Any,Any,IIIA,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IIIB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
Corpus Uteri – Adenosarcoma,AJCC8,yp,T3b,N0,M0,Any,Any,IIIB,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Adenosarcoma
